Question,A,B,C,D,Correct,Owner,Person,Type,Status
"1.⁠ ⁠A homeowner contacts Fixwerks regarding an old appliance that has stopped functioning. Upon assessment, it’s found that the original spare parts are already obsolete. Which of the following BEST reflects Fixwerks value proposition?",Inform customer that parts are obsolete and advise to buy new appliance,Modify the appliance for it to be functional with the approval of the customer,Use other Original Equipment Manufacturer (OEM) parts to retro-fit for the repair service,Advise the customer that we can still repair but customer will have to buy parts online at their risk,C,Team William,Hannah,,
2. An appliance brand is considering outsourcing their aftersales operations but want a partner that can professionally represent their brand throughout the customer journey. Which of the following BEST represents the company’s key differentiator?,Providing technicians for each service request,"Managing entire end-to-end appliance aftersales support including customer service, installation, onsite repair, warranty management, spare parts handling, and service documentation",Customised aftersales solutions tailored for the brands requirement i.e Customer Service + Installation only/Warranty management + Repair only,Providing not just technician(s) for service request but providing spare parts that manufacturers no longer produces,C,Team William,Hannah,,
Q1: Ginn is a QP. What is QP an abbreviation for?,(A) A professional whose practice is governed by the Architects Act of Singapore,(B) Qualified Person,(C) A Registered Architect with a practicing license,(D) All of the above,D,Team William,Ginn,,
Q2 - What service can an architect like Ginn offer?,(A) Structural Endorsement and Inspection,(B) Engineering Design,"(C) Building Design, Interior Architecture, and regulatory authority submissions like URA, SCDF , JTC",(D) All of above,C,Team William,Ginn,,
1.⁠ ⁠Which customer is MOST likely to become a referral for Hana Home Furnishing?,Someone looking for cheap furniture,A homeowner collecting keys for a new condo,A developer for a commercial building,A basement office unit,B,Team William,Wink,,
2.⁠ ⁠What information is MOST useful before referring a curtain specialist?,Customer’s favourite colour,Customer’s renovation stage and window measurements,Customer’s current home design,Customer’s budget,B,Team William,Wink,,
"Which of the following is Design Bureau's USP?  (A) A full-fledged commercial & industrial renovation specialist; (B) A design consultancy firm with a team of Architect, Structural Engineer & Licensed Plumber; (C) A full turnkey commercial & industrial renovator; (D) Offers a free round of site visit and consultation to clients; (E) Provides interior design consultancy services unlike typical contractor firms.","A, B, C, E","A, B, C, D","A, C, D, E",All of the above,C,Team William,William,,
What are the project referrals that Design Bureau is looking for?  (A) Food & Beverage Outlets; (B) Retail Outlets; (C) Industrial Properties; (D) Commercial Offices; (E) Design Consultancy.,"A, B, C, D","B, C, D, E","A, B, D, E",All of the above,B,Team William,William,,
What type of event does Winston hate to do the most?,Community (CC / RC) shows,Bank Roadshows,Bank Conferences,Birthday Parties,B,Team Winston,Winston,,
Who is Winston’s Golden Goose,Market Agency,Public Relations Agency,CEO of an MNC,Events Organiser,D,Team Winston,Winston,,
Who is the most unlikely to give Winston business,CEO of an MNC,CEO of a large SME,Head of Marketing of an MNC,Head of Marketing of a large SME,A,Team Winston,Winston,,
What type of works does Jack do,Fluted timber panels,Timber Parquet,Timber Decking,All of the above,C,Team Winston,Jack,,
What are the referrals that Jack is not looking for,Full Replacement Job of Vivocity Roof deck,Single plank replacement of timber plank @ HDB Balcony of house owner,Algaed timber deck for HDB drying backyard deck that requires a refurbishing works,Main Contractor building a new Nparks with outdoor timber works,D,Team Winston,Jack,,
Which type of client is golden goose for Jack,Director of Main Con with big condo under construction,GCB owner of Sentosa cove unit looking to replace their outdoor decking,Owner of Industrial Building (dormitory/flattered factory),"Director / Strata manager of Managing Agent company (Knight Frank, JLL, Savills)",D,Team Winston,Jack,,
Which is the WORST kind of referrals for Benedict?,Referrals that are looking to host premium events with low budget,Referrals that are on very short notice (i.e. less than 3 days to event day),Referrals that want to have a cheap liquid buffet,Referrals that require only beers & wines to be served at the event,C,Team Winston,Benedict,,
Which trade is Benedict’s Golden Goose?,Founders & Directors of SME companies,PR / Marketing Agencies / Head of Marketing / HR of MNCs,Event Organisers,"Collaborators (i.e. F&B business owners, Private chefs, Catering companies etc.)",C,Team Winston,Benedict,,
Who is Benedict’s DREAM referral?,DBS,Ferrari,Apple,Shell,B,Team Winston,Benedict,,
Which statement best describes Venessa’s approach to bespoke jewellery?,She creates pieces based only on current trends,"She asks clients about their story, lifestyle, preferences, and budget before proposing a design",She only recommends the biggest gemstone regardless of quality,She avoids customised work because it takes too much time,B,Team Winston,Venessa,,
Which referral is likely to be the highest-value opportunity for Gems Origin?,A bride looking for a simple wedding band within a fixed low budget,A CEO looking for meaningful recognition pieces for top-performing agents,A shopper comparing diamond prices across multiple retail chains,A customer looking for a ready-made gold pendant for immediate collection,B,Team Winston,Venessa,,
Which of these clients would be least suitable for Gems Origin?,A business owner looking for premium gifts for VIP clients,A woman who wants to refurbish her mother’s old jewellery,A client who values natural gemstones and long-term quality,A customer who only wants the cheapest best deal,D,Team Winston,Venessa,,
Which one of the following are NOT Eileen’s target customers?,HR Departments/Companies,Marketing Departments/Companies,Branding agencies/Companies,Professional Services,D,Team Winston,Eileen Kwa,,
Which one of the following are the BEST collaborators for Eileen?,Event Planners / Companies,Financial Agencies,Construction Companies,Wedding Planners,A,Team Winston,Eileen Kwa,,
Which one below do not belong in Eileen’s USP?,Responsiveness,Affordable,Responsible and reliable,Resourcefulness,B,Team Winston,Eileen Kwa,,
What should couples ALWAYS have on the wedding day?,Backup emergency kit,Portable karaoke machine,Lucky pineapple,Extra champagne tower,A,Team Alex,Alex Tan,,
What’s the REAL secret to a successful wedding?,Stress-free couple enjoying the day,12-course dinner,Smoke machine during march-in,Asher,A,Team Alex,Alex Tan,,
What is the main appeal of Bunnie Bash for events like weddings?,Mass-produced desserts,DIY live stations,"Aesthetic, curated dessert experiences",Fast food style service,C,Team Alex,Asher,,
What is a defining trait of Bunnie Bash croffles and waffles?,Freshly prepared with controlled finishing,Designed mainly for visual appeal,Pre-made and reheated for speed,Served in fixed portions without variation,A,Team Alex,Asher,,
Which of these is NOT a referral Joewin is looking for?,A business owner with $10M revenue who hates numbers and has no SOPs,A GST-registered SME with 12 staff and rents their own office,A profitable company that keeps reinvesting back and struggles with cash,A new start up with an innovative product looking to scale with good cash flow advice,D,Team Alex,Joewin,,
Which of the following businesses would Joewin most likely turn away even if referred by a trusted BNI member?,A branding agency with $1M revenue whose owner wants to sell in 3 years,A B2B business with $4M revenue whose owner is a creative visionary with no finance systems,A family business with $2M revenue whose owner travels but is always working on the go,A B2C business with $3M revenue whose owner can’t pay salaries next month,D,Team Alex,Joewin,,
What is the most common reason people fail to lose weight?,They don't do enough cardio,They eat carbs,They lack a sustainable plan they can stick to,They don't sweat enough,C,Team Alex,Jun Kai,,
How many hours per week do I need to commit for Personal Training to see results?,2,4,6,8,A,Team Alex,Jun Kai,,
What is something about Pauline’s business that most people always get wrong?,Professional Indemnity Insurance is only for large corporations.,Professional Indemnity Insurance is only for doctors and lawyers.,Professional Indemnity Insurance only pays compensation when you’re proven wrong.,"Professional Indemnity Insurance also pays legal defence costs, even when you’ve done nothing wrong.",D,Team Alex,Pauline,,
What makes Pauline’s service different or memorable?,I provide insurance quotations.,I assist with claims.,I chose to leave a finance career because I wanted to impact more lives before it is too late to be protected.,I help with renewals.,C,Team Alex,Pauline,,
Which of the following best describes Susan's business website design philosophy?,"Build fast, launch cheap, optimise later",Design-first with no regard for business goals,Art and science — blending design with strategy and performance,Copy what competitors are doing and improve on it,C,Team Hon Kee,Susan,,
What awards did Susan's business win?,User Experience Award,Web Design Award,Web Design and User Experience Award,Nothing,C,Team Hon Kee,Susan,,
What are bad referrals or referrals that are not suitable for Ken?,Household moving,SME/ MNCs that import and export weekly,Cargo that are above 100 KGS by Air freight,Controlled Chemical importing by Sea freight,A,Team Hon Kee,Ken,,
What other doors can you help open for Ken’s business?,Primary and secondary Schools,Importers and Traders of Electronic companies,Friends that require house hold moving,Last mile parcel deliveries,B,Team Hon Kee,Ken,,
What makes Octogram Press’ approach to print jobs different from typical printers?,They focus mainly on cheap pricing and fast turnaround,They only take high-volume jobs without consultation,"They emphasise colour accuracy, consistency, and provide print production consultation with controlled processes to minimise variables",They outsource most jobs with minimal quality control,C,Team Hon Kee,Hon Kee,,
Who are Octogram Press’ ideal collaborators?,Individual freelancers only,"Creative agencies, advertising agencies, corporate gift suppliers, and large format printers",Tuition centres and home bakers,Logistics companies only,B,Team Hon Kee,Hon Kee,,
What other doors can you open for Christine’s business?,Airlines,Tourist organizations and tourism board,Media Familiarisation or Press trip overseas,All of the above,D,Team Hon Kee,Christine,,
What is your company's philosophy?,Position ➡️ Pitch ➡️ Public Relations ➡️ Profit,Public Relations ➡️ Position ➡️ Pitch ➡️ Profit,Position ➡️ Pitch ➡️ Profit ➡️ Public Relations,Pitch ➡️ Position ➡️ Profit ➡️ Public Relations,A,Team Hon Kee,Christine,,
WHO IS RICHARD’S MOST IDEAL CLIENT(S)?,New to work-force 20s-30s.,"Working Parents with young children, 16 years and below",Pre-Retirees 50s to 60s,Small business owners and self-employed,B,Team Hon Kee,Richard,,
WHAT IS RICHARD’S STRONGEST USP?,Client -First Mindset. Always prioritize clients’ interest and go the extra mile to negotiate the best possible outcomes with underwriters.,"Established relationships and access to underwriters, senior service teams and claims officers negotiating for best outcomes for clients.",Holistic Advisory. Provide well-rounded advice covering financial planning particularly life and disability insurance and personal guidance based on deep client understanding.,"24/7 Accessibility & Continuity. Always reachable across time zones with succession planning with Clients Care partnering with son, Josiah Boh.",B,Team Hon Kee,Richard,,
What is Ya Ting’s official trade representation in Elite?,Portrait Photography,Corporate Photography,Studio Photography,Photography,C,,,,
2. What is Ya Ting’s ideal referral?,A big international brand,Social media influencers,Government agencies,Corporate MNC,A,,,,
3. What projects does Ya Ting NOT take?,IC photos,Actual day weddings,Newborn photography,All of the above,D,,,,
4. What’re the work experiences that Ya Ting had that contribute to her work now?,Fine art exhibitions,Part-time uploader at ST.COM,Video producer,All of the above,D,,,,
5. What’s Ya Ting’s basic rate for photography?,$100/hr,$120/hr,$200/hr,$250/hr,C,,,,
Which is NOT the country that staff in Aurum Hair originate from?,Hong Kong,Korea,Japan,Thailand,C,,,,
Who is Rachael’s ideal client?,Female empowerment enthusiasts,Successful female bosses,Affluent women,All of the above,D,,,,
What is Rachael’s USP?,Aurum Hair boosts an international team of luxury-trained stylists,Aurum Hair operates in the belief in both internal and external transformations,Aurum Hair gives amazing value at reasonable rates,All of the above,D,,,,
What is NOT TRUE about Rachael’s business?,Aurum Hair is the third hair salon venture. All previous reiterations were also located in Orchard,Aurum Hair is more affordable than its peers and competitors,"Aurum Hair features stylists from Hong Kong, Korea and Thailand",All of the above,A,,,,
Silvester Legal is an award-winning firm. Which awards have they NOT received?,ALB SE Asia Law Award 2024,Singapore’s Best Law Firm 2026 BY The Straits Times,The Singapore Academy of Law Award (SAL) 2025,ALB Singapore Rising Star 2023,C,,,,
What is Eileen Quek’s role in Silvester Legal?,Legal Counsel,Legal Executive,"Head, Client Experience and Administration",Operations and Integration Manager,C,,,,
What is Michele’s official position in Dr Loan?,Co-founder,Senior Advisory Partner,Principal Partner,None of the above,B,,,,
What are the service(s) Michele provides?,Working capital loan,Education and consultation on the terms and risks with commercial loans,Invoice financing,All of the above,D,,,,
What is Cleaning Papa’s cancellation policy?,Amendments or cancellations of booking can be made up to 24 hours before the scheduled session,Cancellations/rescheduling within 24 hours of the scheduled service will incur a 100% charge to the Booked Service Fee.,"In case of an emergency, the late cancellation fee can be negotiated.",Cancellations/rescheduling within 48 hours of the scheduled service will incur a 100% charge to the Booked Service Fee.,B,,,,
What is NOT one of Cheryl’s USP?,"Wide collection of arcade game machines, carnival games and inflatables",In-house creative and technival teams provide customised solutions tailored to clients’ needs,The Arcade People prides itself in creating memories for everyone involved,None of the above,D,,,,
16. Who is Li Kar’s ideal client?,Women who are hereditary at risk of breast cancer,Human Resources,Doctors specialising in breast cancer,Wellness instructors such as Pilates and Yoga,B,,,,
2. What did Breast Friend start off as?,Skincare product company,Cancer research,Medical clinic,None of the above,A,,,,
What is considered a Level 4 referral?,Sharing your experience by giving the prospect a personal testimonial or recommendation,Creating a whatsapp group to introduce both parties,Making an introductory call or setting up an email introduction/appointment for both parties,Arranging an appointment for both parties and show up in person to make the connection as warm as possible,C,,,,
What is NOT a clause in the BNI pledge?,I will be truthful with the members and their referrals,I will build goodwill and trust among members and their referrals,I will display a positive and supportive attitude with BNI members,I will deliver exceptional services at preferential rates for BNI members,D,,,,
Which of the following statements BEST describes a Facilitated Referral?,The referrer provides the new prospect with the name and information of another member’s service.,The referrer assists in making the initial connection,The referrer ensures that the connection is made and an appointment is set,The referrer helps to qualify and ensure that the referral made is appropriate and suitable for the member,B,,,,
What is THE golden rule of BNI?,"Visibility, Credibility, Profitability",Exclusivity within the chapter - There is only ONE member per professional speciality,"Givers Gain - If you help other members by providing quality referrals, they will reciprocate and help you succeed in return","Building relationships, lifelong learning, traditions and innovation, accountability, recognition",C,,,,
What is considered a Level 2 referral?,The referrer has made the introduction individually with each party and the member referred is expecting a call from the client,The referrer gives a glowing recommendation of the member and his/her services,The referrer sets up a meeting between the two parties - prospect and member,"The referrer provides the member’s marketing literature - included website, social media handle to the prospect for their review",D,,,,
Which are the two sectors that Hon Kee considers to be his golden goose?,FMCG retailers and food manufacturers,Hospitals and art galleries,Hotels and Corporate,Government agencies and MNCs,A,,,,
What is the minimum print quantity required by Octogram Press?,500,100,200,300,D,,,,
Which of the following is NOT considered one of Hon Kee’s USPs?,Personalised consultation with a focus on client’s needs,Competitive prices,Consistent colour and accurate art work printed,2. Alex Yang (2Q) - Checked,B,,,,
Which are the TWO publications that Alex Yang’s work have been featured in?,Tatler and CNA Lifestyle,Home Decor and Straits Times,Zaobao and Business Times,CNA Lifestyle and Expat Living,B,,,,
Who does Alex Yang consider his golden goose?,Real estate agents serving landed home owners,Architects,BTO owners,Real estate agents serving MNCs,A,,,,
Who is considered an ideal referral for Winston?,MNCs,Listed companies,Government Agencies,Both A and B,D,,,,
What is Winston’s Golden Goose Referral?,Marketing lead in a corporate company planning for an annual D&D party,Event companies that regularly work with a minimum pax of 200,PR agencies that regularly work with listed companies,Weddiing planners who work with highly influential personalities,B,,,,
What is Winston’s USP?,Bringing out energy from the audience,Rich experience with various events,All of the above,4. Jack Wang (3Q) - Checked,C,,,,
Who is Jack’s ideal referral?,Residential Managing Agents (MA),Timber furniture retailers,Landed Property Agents,Interior Design firms,A,,,,
Who is Jack’s Golden Goose? (Repeated Question in Team submission),Landed property owners,Established furniture retailer with chains across Asia,Director of a Managing Agents company (MA),A famed interior designer,C,,,,
What is Jack’s USP?,Patented installation system of raised floor system for timber decking,Cost-efficient spot repair and maintenance of timber decking and fencing,All of the above,5. Cynthia Lee (2Q) - Checked,C,,,,
Who is/are Cynthia’s Ideal client(s)?,Home owner,Landlord,Tenant,All of the above,D,,,,
Which service/projects does Cleaning Papa NOT provide?,Last minute booking,Upholstery services,Restoration works,Cleaning for commercial properties,C,,,,
What is Eileen Kwa’s USP?,Design and functionality of corporate gifts,Competitive pricing,Top-notch service,Quick turnaround,C,,,,
What is one trait of Eileen Kwa’s that she’s most proud of and keeps clients coming back?,Reliability,Quick response time,Positive mindset,9. Alex Tan (3Q) - Checked,A,,,,
Who is Alex Tan’s ideal client?,Couples who just applied for BTO,Older and richer couples,Celebrity and influential couples,Couples who just got proposed to and are starting to plan their weddings,D,,,,
What is Alex Tan’s USP?,He is also a wedding emcee with 13 years of experience,Reliable team and network,Competitive pricing,All of the above,D,,,,
How many weddings has Alex Tan planned since the year 2024?,100+,200+,300+,10. Darren Lim (2Q) - Checked,A,,,,
What is Darren’s Golden Goose referral?,Marketing consultant,Business consultant,Both A and B,Franchise owners,C,,,,
What is something about Darren’s business that people ALWAYS get wrong?,Branding is just about designing a logo,Branding does not lead to sales conversion,Our brand is what we say it is,Branding is not essential to a company’s operation,A,,,,
What is Ken’s BEST Golden Goose referral?,Electronics companies supplying to local wafer factories with weekly to monthly shipments,FMCG companies with weekly to monthly shipments,Manufacturing companies with weekly to monthly shipments,Suppliers with weekly to monthly shipments,A,,,,
What is Ken’s STRONGEST USP?,Established business with decades of experience in the industry,"Single contact point for sales, operations and accounts",Strong relationships with airports and customs,All of the above,B,,,,
What is Christine’s Golden Goose referral?,F&B Chain,Overseas Hotels,Food suppliers,F&B store with quarterly campaigns,A,,,,
What is something about Christine’s business that people ALWAYS get wrong?,All publicity is good publicity,PR is advertising,Good PR can directly translate into closed business,All of the above,B,,,,
What is Christine’s STRONGEST USP?,Deep knowledge on the F&B industry,CQ Works is probably the only PR agency that conceptualises,More than 10 years of experience,13. Jason Long (2Q) - Checked,B,,,,
Who is Jason’s MOST ideal client?,Retail stores concerned about security,Systems Integrator,Security firms,Childcare centres,B,,,,
What is Jason’s USP?,AI enhanced cameras with facial recognition features,CCTVs which serve multiple uses and purposes,Predictive and proactive maintenance,All of the above,D,,,,
What is Hannah’s “Golden Goose” referral?,FMCG Brands,Large scale corporations,Brands and Manufacturers,All of the above,C,,,,
Which of the below is NOT one of Hannah’s USPs?,50 years of experience in appliance repair,Appliance repair enhanced by digital systems,Appliance repair enhanced by structured processes,Seamless customer experience - from customer service to aftersales,A,,,,
Which of the following is NOT true of Hannah’s business - Fixwerks?,Fixwerks is a business founded on traditional expertise but powered by modern systems,"Fixwerks was founded by Hannah’s parents. She transformed, scaled and digitalised this business",Fixwerks serves both consumers and business entities,"Fixwerks is well known for its customer service, quick responses and accountability",B,,,,
Who is Susan’s MOST ideal client?,"Businesses that use basic websites generated by Wix, Squarespace or Shopify",Businesses who are not generating any sales from their websites,New businesses who want to build a website from scratch,Businesses who don’t have a working website,B,,,,
What is Susan’s “Golden Goose” referral?,Design Agencies,SEO companies,Marketing companies,Large scale corporate seeking a website revamp,A,,,,
Which of the following is NOT true about Susan’s business?,They are more than designers or developers,They build conversion-optimised websites,They are based in a co-working space in Orchard,They are a solution provider concerned about client’s messaging,C,,,,
Susan’s business offers a money-back guarantee website launch program at a duration of?,3 weeks,4 weeks,5 weeks,6 weeks,D,,,,
What is something about Jun Kai’s business that people ALWAYS get wrong?,Getting a PT will make you very muscular,"To lose weight, I have to cut down on food intake",A and B,A PT also gives you daily nutritional advice,C,,,,
What is the promise that Jun Kai makes to new clients?,Guaranteed results with just 4hrs PT per week,Guaranteed results with just 2hrs PT per week,Guaranteed results with just 6hrs PT per week,Guaranteed results with just 3hrs PT per week,B,,,,
What is Jun Kai’s basic hourly rate?,$80/hr,$100/hr,$150/hr,$180/hr,C,,,,
Who is/are Venessa’s MOST ideal client(s)?,Women aged 30s to 50s,Husbands who dote on their wives,Corporate clients who want to make their own corporate branded jewelry,Boyfriends looking to propose marriage,C,,,,
Who are Zi Hao’s ideal client?,Home-owners whose peace have been disturbed by noises in the neighbourhood,Business owners who value privacy,Audiophiles who want to soundproof their AV room,Couples who have just gotten their BTO flats,A,,,,
What is Zi Hao’s “Golden Goose” referral?,Property agents,Condo management,Hotel facilities management,None of the above,C,,,,
What is TRUE about Zi Hao’s business?,The provide a 1 year gurantee for their clients,They DO NOT provide repair works at all,They provide follow-up repair works only for products offered by his company,A and C,D,,,,
Who is Stacey’s ideal client?,A reputable tuition agency,Family with young chilldren,Middle-aged professionals who are looking to build a retirement fund,Corporate investor,D,,,,
What is Stacey’s “Golden Goose” referral?,Business Consultants,Family office consultant,Families who are looking to grow their investments across generations,All of the above,B,,,,
What is the best type of service that brings Stacey the most value?,Invest suite with external asset management arm,Private equity,Institutional funds,All of the above,D,,,,
Who is Dexton’s ideal client?,Construction Companies,Shipbuilders,Interior Designers,Engineers,B,,,,
Which of the following is NOT considered a “Golden Goose” referral for Dexton?,Workshop/Site Managers,Worksite foremen who are purchasers for their companies,HR department of Building firms,All of the above,C,,,,
What is NOT of the services that Dexton provides?,Welding services,Sales of welding machines and after sales support,Welding repair,A and C,D,,,,
Who is Ferlin’s ideal client?,Families with kids who are looking for weekend activities,Tourists looking for something fun to do in Haji Lane,Young couples looking for interesting date ideas,All of the above,D,,,,
What is Ferlin’s “Golden Goose” referral?,Art and Craft Tiktok influencers,Enrichment Centers for children,Corporate companies looking for team bonding activities,A and B,C,,,,
What is NOT TRUE about Ferlin’s business?,No prior experience in candle making is required,Male customers are also accepted,Dusk Hour is the first in Singapore to offer customised dessert-style candle-making workshops for groups,There is no age restrictions for candle making workshops,D,,,,
Who is Nicholas’ MOST ideal “Golden Goose” referral?,"Mergers & acquisition brokers who have identified businesses keen to sell within the next 2-3 years, and are willing to put in the effort to improve business value",Business owners with $1M to $10M in annual revenue,Business owners who are looking to grow and expand,"Dedicated, committed business owners open to change and external coaching",A,,,,
What is a NOT TRUE about Nicholas’ business?,Nicholas aligns both personal and business goals of the owner,"Nicholas’ consultancy role is indispensable to his clients, even when they have landed on the right track",Nicholas helps business owners step closer to their dream life,Business Multiplier has a track record of multiplying their clients’ revenue up to 7x,B,,,,
Who is Eileen Quek’s ideal client?,Business owners looking to enter into a joint venture,SME Business Owner looking for corporate advisory,SME Business Owners and freelancers looking to reclaim unpaid debts,A and B,D,,,,
Who does Eileen Quek consider a “Golden Goose” referral?,Corporate Secretary,Accountants,Business owners,All of the above,D,,,,
What is Eileen Quek’s strongest USP?,Silvester Legal focuses on long-term gains for clients,Silvester Legal is a multiple award-winning law firm,Strong winning track record against big corporations,Learned and experience with complying to law and regulations,A,,,,
Who would be a good referral for Pauline?,Someone renting a hawker stall,A company buying a new office furniture,A business owner signing a commercial lease,Someone looking for a restaurant,C,,,,
What is Pauline’s “Golden Goose” referral?,Homeowners buying fire insurance,Travellers planning a holiday,"Business owners or professionals who provide advice, designs, or services and need Professional Indemnity Insurance",Drivers renewing car insurance,C,,,,
What is Pauline’s strongest Unique Selling Proposition (USP)?,Pauline provides the cheapest insurance premiums in the market.,Pauline helps clients compare multiple insurance companies.,"Pauline help sbusinesses identify risks before they become costly claims and structure the right insurance protection to safeguard their finances, reputation and continuity.",I only focus on processing insurance claims.,C,,,,
What makes Pauline different or memorable from other insurance agents?,Pauline helps clients buy insurance.,Pauline helps clients renew insurance.,Pauline helps businesses avoid costly surprises by identifying risks before a claim happens.,Pauline help clients file claims.,C,,,,
Who would be a good relationship referral for Rae?,Corporate lawyers,Corporate secretary,Dispute lawyers,HR management,C,,,,
What is Rae’s “Golden Goose” referral?,Property agents,Interior Design company,Property developers,All of the above,C,,,,
